borrower_id,age,business_type,years_in_operation,region,annual_revenue,ebitda_margin,cashflow_stability,bank_balance_avg,dti_ratio,dscr,loan_amount,tenure_months,interest_rate,past_delinquencies,dpd_last_6m,repayment_consistency,monthly_inflow,monthly_outflow,default
1,39,Retail,6,North,61.85,13.28,0.59,0.1,0.11,1.49,6.64,24,15.94,0,8,0.95,3.26,10.24,0
2,33,Manufacturing,0,West,51.95,16.9,1.0,5.41,0.34,1.04,15.35,36,16.45,0,4,0.83,12.85,4.16,1
3,41,Construction,0,North,93.49,13.6,0.78,3.58,0.43,1.84,22.6,48,17.68,0,10,0.63,1.34,4.15,0
4,50,Retail,3,South,76.86,3.36,0.94,2.28,0.43,1.13,13.57,36,14.98,0,0,1.0,6.51,6.26,0
5,32,Healthcare,3,East,60.85,13.34,0.94,1.54,0.37,1.46,14.03,12,10.0,0,0,0.52,1.0,9.94,0
6,32,Manufacturing,6,North,118.86,15.11,0.65,0.1,0.16,1.93,14.38,36,16.52,0,0,0.76,7.21,1.41,0
7,50,Construction,4,North,28.85,9.56,0.87,0.1,0.4,1.76,14.73,48,11.11,1,0,0.8,9.3,8.35,1
8,42,Trading,4,East,44.37,1.0,0.71,6.31,0.42,2.58,2.2,24,15.89,1,7,0.35,8.96,1.0,0
9,30,Healthcare,0,South,69.59,9.08,0.88,0.67,0.54,1.43,7.71,24,10.0,0,10,0.79,7.21,9.18,0
10,40,Retail,4,North,75.33,4.43,0.49,2.17,0.4,2.32,7.85,12,12.28,0,2,0.77,4.55,4.66,0
11,30,Trading,0,North,23.64,11.41,0.75,4.87,0.29,1.37,6.6,36,13.26,1,14,0.58,10.65,5.03,0
12,30,Services,5,North,48.98,4.49,0.76,0.62,0.6,1.21,6.45,24,15.4,0,3,0.65,11.04,11.02,1
13,37,Healthcare,7,South,50.67,4.25,0.91,3.49,0.66,1.21,7.32,24,14.79,0,5,0.56,4.06,7.04,1
14,21,Healthcare,2,South,119.92,16.64,0.53,1.84,0.51,1.94,4.49,36,18.32,2,4,0.96,6.08,10.78,1
15,21,Construction,6,North,69.87,12.98,0.66,1.78,0.38,0.95,15.62,24,12.69,0,11,0.85,1.0,1.0,0
16,29,Construction,3,South,82.42,14.96,0.74,3.07,0.58,0.89,14.18,60,18.52,0,5,0.72,7.81,4.5,0
17,24,Retail,8,South,38.34,8.58,0.76,0.14,0.56,1.28,17.7,48,16.25,0,0,0.95,2.27,5.57,1
18,38,Healthcare,5,South,27.49,9.12,0.98,2.05,0.35,0.98,4.79,12,19.09,1,22,0.94,12.07,1.73,1
19,25,Construction,1,North,37.29,8.17,0.74,2.89,0.5,1.35,6.63,12,15.47,0,8,0.62,9.01,6.32,0
20,21,Services,8,South,66.44,8.96,0.77,0.1,0.28,1.82,18.09,36,12.67,0,0,0.75,9.0,10.21,0
21,49,Construction,7,West,94.26,9.24,0.84,6.13,0.52,0.8,10.09,36,10.0,0,19,0.57,9.6,12.24,0
22,32,Healthcare,3,East,7.33,6.03,0.73,5.72,0.27,2.14,10.83,24,10.62,0,5,0.65,3.02,11.14,0
23,35,Manufacturing,6,West,109.43,7.73,0.6,0.12,0.32,1.18,6.42,36,10.94,0,6,0.93,4.63,14.24,0
24,21,Trading,6,East,76.59,13.17,0.59,1.52,0.48,1.27,11.8,36,17.02,1,0,0.6,10.91,7.9,0
25,29,Healthcare,3,West,80.03,6.0,0.82,5.78,0.57,0.3,19.87,36,17.68,0,1,0.8,4.09,3.6,1
26,36,Services,5,West,78.03,13.96,0.68,3.61,0.41,0.96,12.73,24,16.12,0,7,0.36,1.0,7.4,1
27,23,Healthcare,5,South,37.81,2.58,0.54,3.41,0.48,0.44,17.14,36,15.59,0,0,1.0,4.36,12.62,1
28,38,Services,2,South,46.17,13.82,0.55,4.78,0.14,2.1,10.65,60,18.81,0,13,0.88,3.45,9.51,0
29,28,Healthcare,9,North,70.41,11.55,0.71,4.05,0.6,2.12,3.73,36,12.5,1,13,0.46,9.23,15.1,0
30,32,Trading,0,South,42.5,13.93,0.79,3.06,0.4,1.27,8.44,48,16.08,1,9,0.61,1.0,10.66,0
31,28,Trading,7,Central,57.02,13.94,0.83,1.6,0.05,1.28,12.9,12,12.42,1,5,0.68,5.65,6.11,1
32,53,Services,1,Central,30.09,5.86,0.74,2.98,0.68,0.9,2.03,12,13.91,1,0,0.85,9.36,7.04,1
33,34,Healthcare,4,South,73.18,12.34,0.49,6.0,0.51,1.55,17.8,24,16.82,0,10,1.0,7.18,8.12,0
34,24,Trading,0,West,45.77,5.22,0.6,5.83,0.61,1.55,12.29,36,17.71,1,17,0.52,4.07,5.09,1
35,43,Retail,1,North,37.86,9.53,0.41,2.33,0.41,1.35,12.76,36,17.78,1,4,0.89,17.89,7.96,0
36,22,Healthcare,4,West,25.23,17.63,0.93,0.1,0.52,0.83,10.24,36,13.5,1,0,1.0,5.75,4.57,1
37,37,Trading,5,West,30.05,6.1,0.39,2.53,0.55,1.38,22.07,36,12.85,0,14,1.0,8.45,16.67,0
38,21,Manufacturing,8,South,10.39,11.66,0.75,0.1,0.31,1.54,12.13,48,20.34,2,3,0.78,1.87,10.73,0
39,21,Manufacturing,3,West,62.69,7.14,0.83,4.09,0.15,1.27,11.6,12,18.97,0,7,0.72,14.54,9.13,0
40,36,Retail,6,West,32.06,13.83,0.81,1.95,0.22,1.74,12.96,36,18.74,0,3,0.56,7.8,6.52,0
41,42,Trading,4,West,48.73,17.54,0.99,1.03,0.23,0.81,9.32,36,12.77,3,0,0.95,4.99,7.66,1
42,36,Manufacturing,6,North,86.45,9.19,0.57,0.6,0.49,2.09,10.35,24,16.29,0,2,0.99,2.94,5.02,0
43,33,Healthcare,1,Central,46.4,13.3,0.63,1.87,0.43,0.7,8.65,24,16.1,1,0,0.68,3.2,1.92,0
44,31,Construction,5,East,45.27,10.67,0.41,0.66,0.09,1.65,7.51,36,15.63,2,7,0.7,9.99,9.14,1
45,21,Trading,6,West,48.48,6.15,0.72,4.05,0.92,1.48,15.92,12,16.16,0,0,0.86,2.52,12.14,0
46,27,Retail,3,South,58.78,14.13,0.57,0.1,0.32,2.57,10.97,48,15.33,0,3,0.98,4.25,1.0,0
47,30,Trading,6,North,35.97,14.91,0.82,4.03,0.26,0.96,3.23,36,18.19,0,0,0.8,4.92,6.62,0
48,45,Services,6,West,75.56,6.08,0.59,4.53,0.14,0.4,10.54,48,10.0,0,5,0.73,9.36,1.0,0
49,38,Services,3,South,53.9,17.18,0.75,4.32,0.49,0.3,15.51,12,14.05,0,0,1.0,8.73,11.99,0
50,21,Manufacturing,7,North,33.71,19.63,0.95,1.17,0.34,1.39,9.57,48,17.76,0,0,0.79,1.0,10.07,0
