borrower_id,cluster_id,annual_revenue,dti_ratio,dscr,dpd_last_6m,repayment_consistency,default
1,0,61.85,0.11,1.49,8,0.95,0
2,2,51.95,0.34,1.04,4,0.83,1
3,3,93.49,0.43,1.84,10,0.63,0
4,0,76.86,0.43,1.13,0,1,0
5,0,60.85,0.37,1.46,0,0.52,0
6,0,118.86,0.16,1.93,0,0.76,0
7,0,28.85,0.4,1.76,0,0.8,1
8,2,44.37,0.42,2.58,7,0.35,0
9,0,69.59,0.54,1.43,10,0.79,0
10,2,75.33,0.4,2.32,2,0.77,0
11,3,23.64,0.29,1.37,14,0.58,0
12,0,48.98,0.6,1.21,3,0.65,1
13,0,50.67,0.66,1.21,5,0.56,1
14,1,119.92,0.51,1.94,4,0.96,1
15,3,69.87,0.38,0.95,11,0.85,0
16,0,82.42,0.58,0.89,5,0.72,0
17,0,38.34,0.56,1.28,0,0.95,1
18,3,27.49,0.35,0.98,22,0.94,1
19,3,37.29,0.5,1.35,8,0.62,0
20,0,66.44,0.28,1.82,0,0.75,0
21,3,94.26,0.52,0.8,19,0.57,0
22,2,7.33,0.27,2.14,5,0.65,0
23,0,109.43,0.32,1.18,6,0.93,0
24,1,76.59,0.48,1.27,0,0.6,0
25,2,80.03,0.57,0.3,1,0.8,1
26,2,78.03,0.41,0.96,7,0.36,1
27,0,37.81,0.48,0.44,0,1,1
28,3,46.17,0.14,2.1,13,0.88,0
29,3,70.41,0.6,2.12,13,0.46,0
30,1,42.5,0.4,1.27,9,0.61,0
31,1,57.02,0.05,1.28,5,0.68,1
32,1,30.09,0.68,0.9,0,0.85,1
33,2,73.18,0.51,1.55,10,1,0
34,3,45.77,0.61,1.55,17,0.52,1
35,1,37.86,0.41,1.35,4,0.89,0
36,1,25.23,0.52,0.83,0,1,1
37,3,30.05,0.55,1.38,14,1,0
38,1,10.39,0.31,1.54,3,0.78,0
39,2,62.69,0.15,1.27,7,0.72,0
40,0,32.06,0.22,1.74,3,0.56,0
41,1,48.73,0.23,0.81,0,0.95,1
42,0,86.45,0.49,2.09,2,0.99,0
43,1,46.4,0.43,0.7,0,0.68,0
44,1,45.27,0.09,1.65,7,0.7,1
45,0,48.48,0.92,1.48,0,0.86,0
46,0,58.78,0.32,2.57,3,0.98,0
47,2,35.97,0.26,0.96,0,0.8,0
48,2,75.56,0.14,0.4,5,0.73,0
49,0,53.9,0.49,0.3,0,1,0
50,0,33.71,0.34,1.39,0,0.79,0
51,1,39.71,0.33,2.03,5,0.92,1
52,1,84.29,0.45,1.97,5,0.86,0
53,0,30.28,0.11,1.74,1,0.9,0
54,0,62.6,0.46,1.72,8,0.79,0
55,2,64.34,0.35,1.55,7,0.9,0
56,0,17.75,0.57,2.6,8,0.72,1
57,2,6.6,0.46,1.51,0,0.58,1
58,1,40.31,0.28,1.91,0,0.56,1
59,1,74.17,0.47,1.27,1,0.81,0
60,3,5.88,0.26,1.05,14,0.82,0
61,3,23.83,0.53,1.06,24,0.75,0
62,1,70.18,0.66,2.21,5,0.55,1
63,0,17.94,0.45,1.32,5,0.62,1
64,3,80.69,0.52,2.11,17,0.95,0
65,3,129.53,0.18,0.62,14,0.78,0
66,1,25.54,0.2,0.8,0,0.96,1
67,1,94.18,0.07,1.29,10,0.74,0
68,3,59.84,0.18,0.41,20,0.56,1
69,1,26.24,0.48,1.76,0,0.94,1
70,3,97.78,0.76,1.48,16,0.53,1
71,3,62.2,0.4,0.97,11,0.9,1
72,2,85.7,0.27,1.74,1,0.5,0
73,0,120.37,0.29,0.47,1,0.84,0
74,3,46.77,0.17,1.18,12,0.67,1
75,1,66.58,0.5,1.77,10,0.79,0
76,1,16.54,0.7,0.8,9,0.86,0
77,2,36.04,0.48,0.87,0,0.68,0
78,3,47.56,1.01,1.27,12,1,0
79,2,56.35,0.59,2.87,6,0.69,0
80,1,5,0.21,1.72,14,0.85,1
81,2,96.46,0.48,1.66,11,1,0
82,2,69.02,0.28,0.97,3,0.82,0
83,1,65.5,0.32,1.53,0,0.73,1
84,3,111.46,0.43,0.96,11,0.53,0
85,1,98.63,0.84,1.96,6,0.62,0
86,3,45.46,0.16,1.66,9,0.77,0
87,0,32.91,0.4,1.57,0,0.92,0
88,2,68.69,0.35,1.78,10,1,0
89,3,96.55,0.57,2.16,18,0.72,1
90,0,45.54,0.48,1.92,6,0.87,0
91,0,76.68,0.45,2.56,0,0.96,0
92,1,101.19,0.55,1.67,2,1,0
93,3,79.65,0.47,1.54,12,1,0
94,0,5,0.44,1.69,0,1,0
95,1,14.16,0.21,1.94,8,0.71,1
96,3,109.49,0.47,0.9,13,0.76,0
97,0,53.29,0.15,1.35,0,0.65,0
98,2,59.9,0.23,0.96,9,0.68,1
99,3,67.04,0.3,0.59,18,0.88,0
100,1,92.96,0.4,0.88,0,1,1
101,0,26.51,0.8,0.85,0,0.65,1
102,1,37.62,0.05,1.61,0,0.75,0
103,2,19.84,0.55,1.11,8,0.55,0
104,0,5,0.68,2.3,1,0.85,0
105,0,62.3,0.75,1.22,4,0.98,0
106,2,24.03,0.4,0.72,0,0.35,1
107,0,78.88,0.45,2.02,4,0.55,1
108,0,31.8,0.61,1.1,4,1,0
109,2,9.6,0.33,1.9,0,0.84,0
110,3,81.63,0.14,1.64,15,0.87,1
111,3,65.69,0.82,0.63,20,0.74,1
112,2,45.03,0.17,1.12,6,0.63,0
113,3,46.72,0.83,1.11,14,0.78,1
114,3,68.02,0.17,0.83,18,0.64,1
115,0,101.05,0.43,0.94,5,0.92,0
116,2,62.05,0.38,1.2,0,0.7,0
117,0,64.09,0.3,1.02,2,0.93,1
118,0,36.29,0.51,1.49,0,0.89,0
119,0,42.91,0.59,0.3,0,1,1
120,0,5,0.28,1.4,0,0.81,0
121,1,21.7,0.2,1.13,0,0.8,0
122,0,18.05,0.71,1.71,2,0.82,1
123,3,17.24,0.3,0.9,12,0.93,0
